SERIAL_NUMBER;TITLE;STATUS;Part_number;Descripcion;suscription_id;FechaActivacion;FechaVencimiento;EmpresaCI;cantidad;coste;pvp2;pvp_total;tipo_facturacion;mail_contacto;val;autorenovable
LICCEMSSAM3651;LICENCIA M365 CEMSSA;inactive;CSP-ECS-BUS;Microsoft 365 Empresa Premium;6D6CB7B1-78CA-43E9-BC3D-C9FC432283B5;1970-01-01;1970-01-01;CEMSSA;39;16.63;18.6;725.4;Anual;jsala@cemssa.cat;0;1
LICCONSULTORIM3651;LICENCIA M365 CONSULTORIA INTEGRAL DE NETEJA SL;active;TTC0LCHC2A1A;Microsoft 365 Empresa Premium;ba03f0ed-49ec-4e23-ccc4-f55ddf608358;2024-04-20;2025-04-19;CONSULTORIA INTEGRAL DE NETEJA SL;1;210.38;247.2;247.2;Anual;joan@cin.cat;0;1
LICDIGITALPRM3651;LICENCIA M365 DIGITAL PROSTHETIC PARTNER, SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;747d3d83-0c70-406e-c9be-6115559a545b;2022-10-11;2025-09-11;DIGITAL PROSTHETIC PARTNER, SL;3;119.49;140.4;421.2;Anual;info@digipro-partner.com;0;1
LICALANAITDM3651;LICENCIA M365 ALANA IT DIGITAL SL;inactive;CSP-365-BUS;Office 365 Empresa;0A70A6BA-9A10-4668-948F-14F5BA641CDB;1970-01-01;1970-01-01;ALANA IT DIGITAL SL;1;0.01;0.01;0.01;Anual;jcgarcia@alanait.com;0;1
LICNEROQUALIM3651;LICENCIA M365 NERO QUALITY CONSULTING SL;active;TTC0LH161A1A;Exchange Online (Plan 1);de481e18-8474-4750-cd44-8652ee4a5d5c;2024-05-20;2025-05-19;NERO QUALITY CONSULTING SL;1;37.79;44.4;44.4;Anual;bmoreno@neroqc.com;0;1
LICIACTASOCIM3651;LICENCIA M365 IACTA SOCIOJURIDICA, SCCLP;active;TTC0LH161A1A;Exchange Online (Plan 1);352079ab-4b09-4af8-ccd7-e7bd7aec5e45;2023-08-30;2025-08-29;IACTA SOCIOJURIDICA, SCCLP;2;37.79;44.4;88.8;Anual;admin@iacta.coop;0;1
LICPLCICONTM3651;LICENCIA M365 PLC I CONTROL CAMBRILS SL;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;87fd4f1a-21ec-4c42-cb3b-2e848f54d4ba;2024-06-14;2025-06-13;PLC I CONTROL CAMBRILS SL;1;57.19;67.2;67.2;Anual;rubenbove@plcicontrol.es;0;1
LICTARRACOASM3651;LICENCIA M365 TARRACO ASSESORS;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;912c1893-1076-49f6-df1e-c4605f4964e7;2022-02-17;2025-02-16;TARRACO ASSESORS;1;100.09;117.6;117.6;Anual;antonio.tarraco@tinet.org;0;1
LICLALLARDEM3651;LICENCIA M365 LA LLAR DE LA FOTOCOPIA;inactive;CSP-365-BUS;Aplicaciones de Microsoft 365 para negocios;91D4F4C8-B30D-469C-86F8-60488D749B64;1970-01-01;1970-01-01;LA LLAR DE LA FOTOCOPIA;1;0.01;0.01;0.01;Anual;llardelafotocopia@gmail.com;0;1
LICVEINOUM3651;LICENCIA M365 VEI NOU;inactive;CSP-365-BUP;Vei Nou BUP;C88078A9-71E8-4DB2-AE50-2DAC9C5DBC37;1970-01-01;1970-01-01;VEI NOU;2;9.44;10.5;21.0;Anual;veinoubadal@veinou.cat;0;1
LICENCATRANSM3651;LICENCIA M365 ENCATRANS;inactive;CSP-365-BUP;Microsoft 365 Empresa Estándar;93D7B09D-1EE6-44EE-98E2-5E528B2BA2D3;1970-01-01;1970-01-01;ENCATRANS;7;9.44;10.5;73.5;Anual;deslava@encatrans.es;0;1
LICIDEALEXTEM3651;LICENCIA M365 IDEAL EXTERIORES, SL;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;9e276a88-9ca7-4b27-cbb1-88f6b5d24574;2022-11-04;2025-10-04;IDEAL EXTERIORES, SL;2;100.09;117.6;235.2;Anual;info@abripool.es;0;1
LICCAFERASSEM3651;LICENCIA M365 CAFER ASSESSORIA I GESTIO, SL;active;TTC0LH161A1A;Exchange Online (Plan 1);17192218-2a73-417b-c392-cc807466c293;2023-07-31;2025-07-30;CAFER ASSESSORIA I GESTIO, SL;1;37.79;44.4;44.4;Anual;manel@cafer-assessors.com;0;1
LICGÜELLS.AM3652;LICENCIA M365 GÜELL S.A;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;a0d93a47-4eff-4ff5-c516-74731203ece2;2022-02-17;2025-02-16;GÜELL S.A;38;119.49;140.4;5335.2;Anual;jguell@eguell.com;0;1
LICEGDLOGISTM3651;LICENCIA M365 EGD LOGISTICS SL;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;ce157c3a-183c-4460-ce27-a6498b5c9908;2024-08-03;2025-07-03;EGD LOGISTICS SL;10;57.19;67.2;672.0;Anual;david.rovira@egdlogistics.com;0;1
LICJAPANLESSM3651;LICENCIA M365 JAPAN LESSEPS SL;inactive;TTC0JN4R2A1A;Microsoft Teams Essentials;a2fe2bb3-1c60-456d-c709-ebbf857133f2;1970-01-01;1970-01-01;JAPAN LESSEPS SL;7;37.79;44.4;310.8;Anual;msebastian@japanlesseps.com;0;1
LICCOOPERATIVM3651;LICENCIA M365 COOPERATIVA MONTEBRIONE;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;bfe49435-8967-4e8c-c57a-6341f87d045d;2023-02-16;2025-02-15;COOPERATIVA MONTEBRIONE;1;100.09;117.6;117.6;Anual;cooperativa@montebrione.cat;0;1
LICMAGNETOMEM3651;LICENCIA M365 MAGNETO MEDIC TERAPY;inactive;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;87b01e62-614c-414a-d8fc-db5a7b16704f;1970-01-01;1970-01-01;MAGNETO MEDIC TERAPY;2;119.49;140.4;280.8;Anual;llarvital.comercial@gmail.com;0;1
LICFORMACIÓIM3651;LICENCIA M365 FORMACIÓ I TREBALLEMPRESA D’INSERCIÓ, S.L;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;b858e454-ce48-4bc6-cb2e-0ab167a48bad;2023-07-21;2025-06-30;FORMACIÓ I TREBALL,EMPRESA D’INSERCIÓ, S.L;1;100.09;117.6;117.6;Anual;administracio.tarragona@formacioitreball.org;0;1
LICMESKELLEURM3651;LICENCIA M365 MESKELLEURE;inactive;CSP-365-BUE;Microsoft 365 Empresa Básico;6BC179B9-0862-460B-9DA0-DFDC4FDA39CB;1970-01-01;1970-01-01;MESKELLEURE;1;0.01;0.01;0.01;Anual;meskelleure@hotmail.com;0;1
LICHABILISOUM3651;LICENCIA M365 HABILIS OUTSOURCING, SL;inactive;TTC0LH0J1M;Archivado de Exchange Online para Exchange Online;b4d5fc80-0cff-40af-c9df-0558099f1070;1970-01-01;1970-01-01;HABILIS OUTSOURCING, SL;1;2.86;3.36;3.36;Mensual;csaez@habilis.es;0;1
LICETIMONM3651;LICENCIA M365 ETIMON;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;c2723976-2db3-4928-dfe1-f7faffbd5f68;2022-11-07;2025-10-07;ETIMON;1;100.09;117.6;117.6;Anual;info@ang.cat;0;1
LICVALORHUMAM3651;LICENCIA M365 VALOR HUMA CONSULTORS SLP;inactive;CSP-365-BUS;Aplicaciones de Microsoft 365 para negocios;C4C9DCDA-E53B-4D9D-8229-9E22BA857846;1970-01-01;1970-01-01;VALOR HUMA CONSULTORS SLP;1;100.09;117.6;117.6;Anual;colivera@valorhuma.es;0;1
LICGÜELLS.AM3653;LICENCIA M365 GÜELL S.A;active;TTC0LH161A1A;Exchange Online (plan 1);bcb894ed-b95e-4cfb-c98a-3a65b6e6b7b9;2024-02-13;2025-12-02;GÜELL S.A;1;37.79;44.4;44.4;Anual;jguell@eguell.com;0;1
LICGRANJAAVIM3651;LICENCIA M365 GRANJA AVICOLA LLORENS SA;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;d3762044-14f5-4d81-c78a-e28d54600f9e;2024-05-22;2025-05-21;GRANJA AVICOLA LLORENS SA;5;119.49;140.4;702.0;Anual;administracio@gallsa.com;0;1
LICARRASTRESM3651;LICENCIA M365 ARRASTRES PORTUARIOS DE VILANOVA SL;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;d6ff9237-ba09-41cf-c615-592a24877196;2023-11-29;2025-11-28;ARRASTRES PORTUARIOS DE VILANOVA SL;1;100.09;117.6;117.6;Anual;arrastresvilan@tcb.cat;0;1
LICTODOPARAM3651;LICENCIA M365 TODO PARA MI MEJOR AMIGO SL;inactive;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;dcc4f3ca-2e0b-464a-c946-a6442ad25cfe;1970-01-01;1970-01-01;TODO PARA MI MEJOR AMIGO SL;1;119.49;140.4;140.4;Anual;info@bustelopets.com;0;1
LICSANDEPARTM3651;LICENCIA M365 SANDE PARTNERS;active;TTC0LH161A1A;Exchange Online (Plan 1);75af331f-a6b1-4e43-cd60-873015dfe4f1;2023-05-05;2025-04-05;SANDE PARTNERS;4;37.79;44.4;177.6;Anual;emma.fullera@sandepartners.com;0;1
LICMAINSERFOCM3651;LICENCIA M365 MAINSERFOC;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;eb15a328-c82f-4c6d-cffb-4f0fc46182dd;2022-12-07;2025-11-07;MAINSERFOC;1;119.49;140.4;140.4;Anual;info@mainserfoc.com;0;1
LICRECICLATGEM3651;LICENCIA M365 RECICLATGES PENEDES;active;TTC0LH161A1A;Exchange Online (plan 1);140957b1-fd4b-4a81-c341-6d1058b81931;2024-02-23;2025-02-22;RECICLATGES PENEDES;2;37.79;44.4;88.8;Anual;administracion@reciclatgespenedes.com;0;1
LICSERVICIOSM3651;LICENCIA M365 SERVICIOS E INSTALACIONES ALDAGO SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;81ee9620-91b1-431b-cda5-a1394bcf74d2;2024-04-04;2025-03-04;SERVICIOS E INSTALACIONES ALDAGO SL;18;119.49;140.4;2527.2;Anual;dgomez@grupaldago.es;0;1
LICFIBERPACHSM3651;LICENCIA M365 fiberpachs.com;active;DG7GMGF0D7DB-02;Visio LTSC Standard 2021;ed8c9b64-292e-44e1-c169-09f3d52f161b;2024-06-28;;fiberpachs.com;5;0.01;0.01;0.05;Perpetua;m.colomer@fiberpachs.com;0;0
LICMARALCOPLM3651;LICENCIA M365 Maralco Plus SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;ff409c01-6788-441a-c869-c45d797d50f4;2024-06-03;2025-02-28;Maralco Plus SL;2;119.49;140.4;280.8;Anual;info@ortopediadance.com;0;1
LICAJUNTAMENTM3651;LICENCIA Create Cloud AJUNTAMENT DE LA GRANADA;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;984309b3-2bdc-4366-d6de-01a2709c7bb7;2024-03-01;2025-12-31;AJUNTAMENT DE LA GRANADA;4;100.09;117.6;470.4;Anual;romeromam@diba.cat;0;1
LICEQUIPOSPAM3651;LICENCIA ADOBE EMOSA;active;TTC0LH161A1A;Exchange Online (Plan 1);e71e5aea-dc0a-4e84-d823-a221fc6be819;2023-11-13;2025-10-31;EQUIPOS PARA MANUTENCION Y OBRAS SA;19;37.79;44.4;843.6;Anual;alejandro.omedes@emosa.com;0;1
LICVILARRUBIAM3651;LICENCIA M365 VILARRUBIAS Y ASOCIADOS LEGAL SLP;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;0d09f5cd-ef5d-4cf4-cefd-d953ab595fff;2024-10-06;2025-09-06;VILARRUBIAS Y ASOCIADOS LEGAL SLP;2;119.49;140.4;280.8;Anual;secretaria@vilarrubias-abogados.copm;0;1
LICIDROHPPFM3653;LICENCIA M365 IDRO HPP FOOD TECNOLOGY SL;active;TTC0LH161A1A;Exchange Online (Plan 1);57a7eabc-9e53-4e8b-d026-23f584b54f88;2024-07-25;2025-07-24;IDRO HPP FOOD TECNOLOGY SL;1;37.79;44.4;44.4;Anual;roberto.cabrera@idro.es;0;1
LICLUMENSBOUM3651;LICENCIA M365 LUMENS BOULEVARD,S.A.;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;1c94efae-67d4-40c0-de07-58fa4866b143;2023-05-18;2025-05-17;LUMENS BOULEVARD,S.A.;10;119.49;140.4;1404.0;Anual;francesc@lumens.es;0;1
LICGÜELLS.AM3655;LICENCIA M365 GÜELL S.A;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;c8513ed8-22f6-47d6-cda7-b897dc99ff20;2022-02-17;2025-02-16;GÜELL S.A;1;100.09;117.6;117.6;Anual;jguell@eguell.com;0;1
LICINDRETDASM3651;LICENCIA M365 INDRET DASSESSORIA SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;5ad83687-0ba7-4ca5-de11-bd2f622e7279;2022-12-13;2025-12-12;INDRET DASSESSORIA SL;3;119.49;140.4;421.2;Anual;administracio@indret.eu;0;1
LICNATALINOBM3651;LICENCIA M365 NATALINO BRIZZI;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;9d1af6e5-6531-4d40-ca5a-20a301c52842;2024-08-13;2025-12-08;NATALINO BRIZZI;2;119.49;140.4;280.8;Anual;brizzi@proyectohogar.net;0;1
LICLLOGUERIM3651;LICENCIA M365 LLOGUER I GESTIÓ D APARTAMENTS LITORAL SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;f35f372f-3544-49ed-c3c4-89497b5d34bb;2024-04-09;2025-03-09;LLoguer i Gestió d Apartaments Litoral SL;6;119.49;140.4;842.4;Anual;raul@litoral.es;0;1
LICSENTINELDM3651;LICENCIA M365 SENTINEL DEVELOPMENT AND INTERMEDIATION;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;09acbe9e-3cfd-4dc9-c843-c4d968ae0878;2024-09-19;2025-09-18;SENTINEL DEVELOPMENT AND INTERMEDIATION;1;57.19;67.2;67.2;Anual;jacaja@sentineldi.com;0;1
LICSENTINELDM3652;LICENCIA M365 SENTINEL DEVELOPMENT AND INTERMEDIATION;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;256f1878-f96f-4f6a-dae4-6199558c2554;2024-09-19;2025-09-18;SENTINEL DEVELOPMENT AND INTERMEDIATION;1;119.49;140.4;140.4;Anual;jacaja@sentineldi.com;0;1
LICORGANICACM3651;LICENCIA M365 ORGANIC ACTIONS SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;e87f0035-3f0c-4bd0-dd8e-7eae7557b172;2024-09-19;2025-09-18;Organic Actions SL;3;119.49;140.4;421.2;Anual;hac@organicactions.com;0;1
LICGÜELLS.AM3656;LICENCIA M365 GÜELL S.A;active;TTC0MM8R2A1A;Copilot para Microsoft 365;fad8dfef-106f-4374-d40d-d4e44eb4cdd0;2024-09-30;2025-09-29;GÜELL S.A;1;312.87;337.2;337.2;Anual;jguell@eguell.com;0;1
LICORGANICACM3652;LICENCIA M365 ORGANIC ACTIONS SL;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;0feff9c2-8968-42a4-d242-f6915d829544;2024-04-10;2025-03-10;Organic Actions SL;3;57.19;67.2;201.6;Anual;hac@organicactions.com;0;1
LICORGANICACM3653;LICENCIA M365 ORGANIC ACTIONS SL;active;TTC0LH161A1A;Exchange Online (Plan 1);9f346208-facc-4f68-d954-4e9302c989fc;2024-04-10;2025-03-10;Organic Actions SL;1;37.79;44.4;44.4;Anual;hac@organicactions.com;0;1
LICFIBERPACHSM3654;LICENCIA M365 FIBERPACHS.COM;active;DG7GMGF0D65N-02;Windows Server Data Center Core 2022;a07695bf-8034-4ce9-d30a-8d917e47200f;2024-10-15;;fiberpachs.com;1;0.01;0.01;0.01;Perpetua;m.colomer@fiberpachs.com;0;0
LICFIBERPACHSM3655;LICENCIA M365 FIBERPACHS.COM;active;DG7GMGF0D65N-03;Windows Server Data Center Core 2022;51794908-1ce1-400c-c9f5-789475d8a89a;2024-10-15;;fiberpachs.com;4;0.01;0.01;0.04;Perpetua;m.colomer@fiberpachs.com;0;0
LICGESTORIASM3651;LICENCIA M365 GESTORIA SIMON TORRENT SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;dc40a00c-5a60-4b4f-d323-bd828f7827d2;2024-10-15;2025-10-14;Gestoria Simon Torrent SL;3;119.49;140.4;421.2;Anual;maria@gestoriasimon.com;0;1
LICGESTORIASM3652;LICENCIA M365 GESTORIA SIMON TORRENT SL;active;TTC0LH161A1A;Exchange Online (Plan 1);a2f777b8-865d-4eb9-ce67-65feb34ae2d9;2024-10-15;2025-10-14;Gestoria Simon Torrent SL;2;37.79;44.4;88.8;Anual;maria@gestoriasimon.com;0;1
LICRADYTECINM3651;LICENCIA M365 RADYTEC INNOVACIÓN SLU;active;TTC0LCHC2A1A;Microsoft 365 Empresa Premium;a981b909-6e1f-45db-d908-e31c607f24a6;2024-10-25;2025-10-24;RADYTEC INNOVACIÓN SLU;6;210.38;247.2;1483.2;Anual;ismaelc@radytec.es;0;1
LICRADYTECINM3652;LICENCIA M365 RADYTEC INNOVACIÓN SLU;active;TTC0LH161A1A;Exchange Online (Plan 1);d5c1f236-e50b-4b08-d17a-a0e21e0c84ed;2024-10-25;2025-10-24;RADYTEC INNOVACIÓN SLU;1;37.79;44.4;44.4;Anual;ismaelc@radytec.es;0;1
LICCOOPERATIVM3655;LICENCIA M365 COOPERATIVA MONTEBRIONE;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;0649fcbc-b1f2-4e41-cf72-efd019d90f1c;2024-10-27;2025-10-26;COOPERATIVA MONTEBRIONE;1;100.09;117.6;117.6;Anual;cooperativa@montebrione.cat;0;1
LICGÜELLS.AM3657;LICENCIA M365 GÜELL S.A;active;TTC0LH181A1A;Microsoft 365 Empresa Básico;0bfe6ceb-b9d0-4bd3-c0d3-f8e1e383d6ba;2024-10-31;2025-01-11;GÜELL S.A;7;57.19;67.2;470.4;Anual;jguell@eguell.com;0;1
LICCOLEGIOOFM3653;LICENCIA M365 COLEGIO OFICIAL DE AGENTES DE LA PROPIEDAD INDUSTRIAL;inactive;TTC0LH161M;Exchange Online (Plan 1);e00ef0c4-755f-4805-d795-6e8e1e3c8876;1970-01-01;1970-01-01;Colegio Oficial de Agentes de la Propiedad Industrial;1;3.78;4.44;4.44;Mensual;coapi@coapi.org;0;1
LICRECICLATGEM3653;LICENCIA M365 RECICLATGES PENEDES;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;18c00d80-2f48-463f-c0b7-9ab4205fab21;2024-12-11;2025-11-11;RECICLATGES PENEDES;5;119.49;140.4;702.0;Anual;administracion@reciclatgespenedes.com;0;1
LICJOLTECHSOM3655;LICENCIA M365 JOLTECH SOLUTIONS SL;active;TTC0LHSF1A1M;Power BI Pro;4367c9e6-9778-4393-c029-90f8941ae6cb;2024-11-28;2025-11-27;JOLTECH SOLUTIONS SL;7;96.0;112.8;789.6;Mensual;jalopez@jolt-solutions.com;0;1
LICKLEBERGROM3651;LICENCIA M365 KLEBER GROUP;active;TTC0LDPB1A1A;Microsoft 365 Business Standard;4a3e41e5-40ec-4e52-d5f1-e1c006fd7fbd;2024-02-12;2025-01-12;Kleber Group;22;119.49;140.4;3088.8;Anual;barbara.mendoud@klebergroup.com;0;1
LICKLEBERGROM3652;LICENCIA M365 KLEBER GROUP;active;TTC0LH161A1A;Exchange Online (Plan 1);e700a6eb-5ee7-4eb5-c9eb-8f8e5f85d6e8;2024-02-12;2025-01-12;Kleber Group;1;37.79;44.4;44.4;Anual;barbara.mendoud@klebergroup.com;0;1
LICKLEBERGROM3653;LICENCIA M365 KLEBER GROUP;active;TTC0LH1P1A1A;Exchange Online (Plan 2);d0e38cf4-2ce0-477d-dde4-e1310ea54d82;2024-02-12;2025-01-12;Kleber Group;3;76.6;90.0;270.0;Anual;barbara.mendoud@klebergroup.com;0;1
LICIBERBOARDM3656;LICENCIA M365 IBERBOARD MILL SL;active;TTC0LDPB1M;Microsoft 365 Empresa Estándar;6170a73f-025e-4253-d402-5c3de806f1c5;2024-09-12;2025-08-02;IBERBOARD MILL SL;6;11.95;14.04;84.24;Mensual;mpuiggene@iberboard.com;0;0
LICLALLARDEM3652;LICENCIA M365 LA LLAR DE LA FOTOCOPIA;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;cbfa51e0-56a4-43f3-cee3-cf675c75c870;2024-12-12;2025-11-12;LA LLAR DE LA FOTOCOPIA;1;100.09;117.6;117.6;Anual;llardelafotocopia@gmail.com;0;1
LICVALORHUMAM3652;LICENCIA M365 VALOR HUMA CONSULTORS SLP;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;089c2a41-f07a-4d87-dcdf-2b1a8dbd2071;2024-12-14;2025-12-13;VALOR HUMA CONSULTORS SLP;1;100.09;117.6;117.6;Anual;colivera@valorhuma.es;0;1
LICPOTENZAPRM3651;LICENCIA M365 POTENZA PRODUCCIONES S.L.;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;2b29bad0-8cce-4e2c-c724-df458002e5f0;2024-12-16;2025-12-15;POTENZA PRODUCCIONES S.L.;3;119.49;140.4;421.2;Anual;produccion@potenzaproducciones.com;0;1
LICNOUCLIMAM3651;LICENCIA M365 NOU CLIMA  SL;active;TTC0LDPB1A1A;Microsoft 365 Empresa Estándar;3ae18277-e72d-418f-c203-6ae6f32012ee;2024-12-19;2025-12-18;NOU CLIMA  SL;4;119.49;140.4;561.6;Anual;rbertran@nouclimaserveis.cat;0;1
LICIBERBOARDM3657;LICENCIA M365 IBERBOARD MILL SL;active;TTC0LH341M;Dynamics 365 Business Central Essential;f5e46952-eea4-4eeb-dad3-46638cdc20d5;2024-12-19;2025-01-18;IBERBOARD MILL SL;2;58.53;78.6;157.2;Mensual;mpuiggene@iberboard.com;0;0
LICSAMIRA&SINM3651;LICENCIA M365 SAMIRA&SINEB;active;TTC0LH1G1A1A;Aplicaciones de Microsoft 365 para negocios;9f131416-f6f4-478f-cd8c-297adcb872b9;2025-09-01;2026-08-01;Samira&Sineb;2;100.09;117.6;235.2;Anual;johanna@samira.es;0;1
